@relation NNGC1_dataset_D1_V1_002
@attribute TimeStamp real [5, 1179]
@attribute Lag04 real [53, 1295]
@attribute Lag03 real [53, 1295]
@attribute Lag02 real [53, 1295]
@attribute Lag01 real [53, 1295]
@attribute Lag00 real [53, 1295]
@inputs Lag04, Lag03, Lag02, Lag01
@outputs Lag00
@data
149, 401, 265, 410, 536, 275
150, 265, 410, 536, 275, 217
151, 410, 536, 275, 217, 284
152, 536, 275, 217, 284, 284
153, 275, 217, 284, 284, 371
154, 217, 284, 284, 371, 311
155, 284, 284, 371, 311, 251
156, 284, 371, 311, 251, 158
157, 371, 311, 251, 158, 213
158, 311, 251, 158, 213, 471
159, 251, 158, 213, 471, 168
160, 158, 213, 471, 168, 356
161, 213, 471, 168, 356, 131
162, 471, 168, 356, 131, 428
163, 168, 356, 131, 428, 450
164, 356, 131, 428, 450, 296
165, 131, 428, 450, 296, 446
166, 428, 450, 296, 446, 385
167, 450, 296, 446, 385, 306
168, 296, 446, 385, 306, 351
169, 446, 385, 306, 351, 340
170, 385, 306, 351, 340, 292
171, 306, 351, 340, 292, 216
172, 351, 340, 292, 216, 135
173, 340, 292, 216, 135, 126
174, 292, 216, 135, 126, 141
175, 216, 135, 126, 141, 840
176, 135, 126, 141, 840, 368
177, 126, 141, 840, 368, 297
178, 141, 840, 368, 297, 430
179, 840, 368, 297, 430, 520
180, 368, 297, 430, 520, 305
181, 297, 430, 520, 305, 200
182, 430, 520, 305, 200, 262
183, 520, 305, 200, 262, 287
184, 305, 200, 262, 287, 334
185, 200, 262, 287, 334, 319
186, 262, 287, 334, 319, 230
187, 287, 334, 319, 230, 260
188, 334, 319, 230, 260, 672
189, 319, 230, 260, 672, 190
190, 230, 260, 672, 190, 415
191, 260, 672, 190, 415, 437
192, 672, 190, 415, 437, 439
193, 190, 415, 437, 439, 727
194, 415, 437, 439, 727, 258
195, 437, 439, 727, 258, 311
196, 439, 727, 258, 311, 394
197, 727, 258, 311, 394, 321
198, 258, 311, 394, 321, 474
199, 311, 394, 321, 474, 402
200, 394, 321, 474, 402, 394
201, 321, 474, 402, 394, 122
202, 474, 402, 394, 122, 257
203, 402, 394, 122, 257, 388
204, 394, 122, 257, 388, 237
205, 122, 257, 388, 237, 314
206, 257, 388, 237, 314, 418
207, 388, 237, 314, 418, 252
208, 237, 314, 418, 252, 360
209, 314, 418, 252, 360, 277
210, 418, 252, 360, 277, 192
211, 252, 360, 277, 192, 263
212, 360, 277, 192, 263, 268
213, 277, 192, 263, 268, 379
214, 192, 263, 268, 379, 185
215, 263, 268, 379, 185, 271
216, 268, 379, 185, 271, 204
217, 379, 185, 271, 204, 360
218, 185, 271, 204, 360, 103
219, 271, 204, 360, 103, 352
220, 204, 360, 103, 352, 258
221, 360, 103, 352, 258, 166
222, 103, 352, 258, 166, 207
223, 352, 258, 166, 207, 285
224, 258, 166, 207, 285, 179
225, 166, 207, 285, 179, 158
226, 207, 285, 179, 158, 376
227, 285, 179, 158, 376, 258
228, 179, 158, 376, 258, 397
229, 158, 376, 258, 397, 215
230, 376, 258, 397, 215, 159
231, 258, 397, 215, 159, 183
232, 397, 215, 159, 183, 424
233, 215, 159, 183, 424, 292
234, 159, 183, 424, 292, 173
235, 183, 424, 292, 173, 208
236, 424, 292, 173, 208, 357
237, 292, 173, 208, 357, 287
238, 173, 208, 357, 287, 264
239, 208, 357, 287, 264, 277
240, 357, 287, 264, 277, 175
241, 287, 264, 277, 175, 257
242, 264, 277, 175, 257, 260
243, 277, 175, 257, 260, 206
244, 175, 257, 260, 206, 499
245, 257, 260, 206, 499, 210
246, 260, 206, 499, 210, 330
247, 206, 499, 210, 330, 614
248, 499, 210, 330, 614, 406
249, 210, 330, 614, 406, 436
250, 330, 614, 406, 436, 661
251, 614, 406, 436, 661, 252
252, 406, 436, 661, 252, 757
253, 436, 661, 252, 757, 397
254, 661, 252, 757, 397, 942
255, 252, 757, 397, 942, 246
256, 757, 397, 942, 246, 325
257, 397, 942, 246, 325, 754
258, 942, 246, 325, 754, 329
259, 246, 325, 754, 329, 168
260, 325, 754, 329, 168, 439
261, 754, 329, 168, 439, 495
262, 329, 168, 439, 495, 476
263, 168, 439, 495, 476, 491
264, 439, 495, 476, 491, 285
265, 495, 476, 491, 285, 567
266, 476, 491, 285, 567, 389
267, 491, 285, 567, 389, 633
268, 285, 567, 389, 633, 470
269, 567, 389, 633, 470, 452
270, 389, 633, 470, 452, 483
271, 633, 470, 452, 483, 372
272, 470, 452, 483, 372, 369
273, 452, 483, 372, 369, 189
274, 483, 372, 369, 189, 388
275, 372, 369, 189, 388, 292
276, 369, 189, 388, 292, 200
277, 189, 388, 292, 200, 371
278, 388, 292, 200, 371, 365
279, 292, 200, 371, 365, 195
280, 200, 371, 365, 195, 328
281, 371, 365, 195, 328, 212
282, 365, 195, 328, 212, 437
283, 195, 328, 212, 437, 164
284, 328, 212, 437, 164, 114
285, 212, 437, 164, 114, 234
286, 437, 164, 114, 234, 514
287, 164, 114, 234, 514, 110
288, 114, 234, 514, 110, 570
289, 234, 514, 110, 570, 181
290, 514, 110, 570, 181, 254
291, 110, 570, 181, 254, 102
292, 570, 181, 254, 102, 384
293, 181, 254, 102, 384, 117
294, 254, 102, 384, 117, 438
295, 102, 384, 117, 438, 540
296, 384, 117, 438, 540, 272
297, 117, 438, 540, 272, 354
298, 438, 540, 272, 354, 231
299, 540, 272, 354, 231, 381
300, 272, 354, 231, 381, 298
301, 354, 231, 381, 298, 477
302, 231, 381, 298, 477, 321
303, 381, 298, 477, 321, 371
304, 298, 477, 321, 371, 514
305, 477, 321, 371, 514, 617
306, 321, 371, 514, 617, 530
307, 371, 514, 617, 530, 476
308, 514, 617, 530, 476, 444
309, 617, 530, 476, 444, 552
310, 530, 476, 444, 552, 126
311, 476, 444, 552, 126, 155
312, 444, 552, 126, 155, 795
313, 552, 126, 155, 795, 226
314, 126, 155, 795, 226, 255
315, 155, 795, 226, 255, 498
316, 795, 226, 255, 498, 498
317, 226, 255, 498, 498, 440
318, 255, 498, 498, 440, 419
319, 498, 498, 440, 419, 839
320, 498, 440, 419, 839, 537
321, 440, 419, 839, 537, 663
322, 419, 839, 537, 663, 478
323, 839, 537, 663, 478, 531
324, 537, 663, 478, 531, 641
325, 663, 478, 531, 641, 386
326, 478, 531, 641, 386, 278
327, 531, 641, 386, 278, 319
328, 641, 386, 278, 319, 308
329, 386, 278, 319, 308, 222
330, 278, 319, 308, 222, 546
331, 319, 308, 222, 546, 447
332, 308, 222, 546, 447, 567
333, 222, 546, 447, 567, 647
334, 546, 447, 567, 647, 392
335, 447, 567, 647, 392, 592
336, 567, 647, 392, 592, 490
337, 647, 392, 592, 490, 570
338, 392, 592, 490, 570, 369
339, 592, 490, 570, 369, 595
340, 490, 570, 369, 595, 309
341, 570, 369, 595, 309, 479
342, 369, 595, 309, 479, 329
343, 595, 309, 479, 329, 337
344, 309, 479, 329, 337, 676
345, 479, 329, 337, 676, 314
346, 329, 337, 676, 314, 573
347, 337, 676, 314, 573, 460
348, 676, 314, 573, 460, 334
349, 314, 573, 460, 334, 327
350, 573, 460, 334, 327, 425
351, 460, 334, 327, 425, 571
352, 334, 327, 425, 571, 300
353, 327, 425, 571, 300, 491
354, 425, 571, 300, 491, 588
355, 571, 300, 491, 588, 602
356, 300, 491, 588, 602, 362
357, 491, 588, 602, 362, 347
358, 588, 602, 362, 347, 538
359, 602, 362, 347, 538, 464
360, 362, 347, 538, 464, 481
361, 347, 538, 464, 481, 575
362, 538, 464, 481, 575, 166
363, 464, 481, 575, 166, 387
364, 481, 575, 166, 387, 503
365, 575, 166, 387, 503, 408
366, 166, 387, 503, 408, 440
367, 387, 503, 408, 440, 374
368, 503, 408, 440, 374, 302
369, 408, 440, 374, 302, 529
370, 440, 374, 302, 529, 375
371, 374, 302, 529, 375, 540
372, 302, 529, 375, 540, 440
373, 529, 375, 540, 440, 537
374, 375, 540, 440, 537, 180
375, 540, 440, 537, 180, 387
376, 440, 537, 180, 387, 544
377, 537, 180, 387, 544, 562
378, 180, 387, 544, 562, 204
379, 387, 544, 562, 204, 335
380, 544, 562, 204, 335, 352
381, 562, 204, 335, 352, 621
382, 204, 335, 352, 621, 429
383, 335, 352, 621, 429, 400
384, 352, 621, 429, 400, 738
385, 621, 429, 400, 738, 329
386, 429, 400, 738, 329, 335
387, 400, 738, 329, 335, 470
388, 738, 329, 335, 470, 147
389, 329, 335, 470, 147, 430
390, 335, 470, 147, 430, 318
391, 470, 147, 430, 318, 269
392, 147, 430, 318, 269, 282
393, 430, 318, 269, 282, 361
394, 318, 269, 282, 361, 212
395, 269, 282, 361, 212, 330
396, 282, 361, 212, 330, 435
397, 361, 212, 330, 435, 498
398, 212, 330, 435, 498, 604
399, 330, 435, 498, 604, 355
400, 435, 498, 604, 355, 662
401, 498, 604, 355, 662, 543
402, 604, 355, 662, 543, 485
403, 355, 662, 543, 485, 403
404, 662, 543, 485, 403, 530
405, 543, 485, 403, 530, 328
406, 485, 403, 530, 328, 447
407, 403, 530, 328, 447, 451
408, 530, 328, 447, 451, 427
409, 328, 447, 451, 427, 357
410, 447, 451, 427, 357, 455
411, 451, 427, 357, 455, 488
412, 427, 357, 455, 488, 508
413, 357, 455, 488, 508, 264
414, 455, 488, 508, 264, 282
415, 488, 508, 264, 282, 219
416, 508, 264, 282, 219, 313
417, 264, 282, 219, 313, 395
418, 282, 219, 313, 395, 451
419, 219, 313, 395, 451, 254
420, 313, 395, 451, 254, 172
421, 395, 451, 254, 172, 180
422, 451, 254, 172, 180, 344
423, 254, 172, 180, 344, 165
424, 172, 180, 344, 165, 396
425, 180, 344, 165, 396, 258
426, 344, 165, 396, 258, 314
427, 165, 396, 258, 314, 479
428, 396, 258, 314, 479, 354
429, 258, 314, 479, 354, 339
430, 314, 479, 354, 339, 185
431, 479, 354, 339, 185, 327
432, 354, 339, 185, 327, 169
433, 339, 185, 327, 169, 522
434, 185, 327, 169, 522, 264
435, 327, 169, 522, 264, 257
436, 169, 522, 264, 257, 184
437, 522, 264, 257, 184, 133
438, 264, 257, 184, 133, 211
439, 257, 184, 133, 211, 100
440, 184, 133, 211, 100, 146
441, 133, 211, 100, 146, 251
442, 211, 100, 146, 251, 106
443, 100, 146, 251, 106, 272
444, 146, 251, 106, 272, 410
445, 251, 106, 272, 410, 416
446, 106, 272, 410, 416, 236
447, 272, 410, 416, 236, 448
448, 410, 416, 236, 448, 417
449, 416, 236, 448, 417, 566
450, 236, 448, 417, 566, 464
451, 448, 417, 566, 464, 265
452, 417, 566, 464, 265, 513
453, 566, 464, 265, 513, 474
454, 464, 265, 513, 474, 285
455, 265, 513, 474, 285, 642
456, 513, 474, 285, 642, 395
457, 474, 285, 642, 395, 308
458, 285, 642, 395, 308, 319
459, 642, 395, 308, 319, 127
460, 395, 308, 319, 127, 295
461, 308, 319, 127, 295, 103
462, 319, 127, 295, 103, 220
463, 127, 295, 103, 220, 246
464, 295, 103, 220, 246, 246
465, 103, 220, 246, 246, 515
466, 220, 246, 246, 515, 322
467, 246, 246, 515, 322, 308
468, 246, 515, 322, 308, 325
469, 515, 322, 308, 325, 369
470, 322, 308, 325, 369, 191
471, 308, 325, 369, 191, 239
472, 325, 369, 191, 239, 324
473, 369, 191, 239, 324, 211
474, 191, 239, 324, 211, 102
475, 239, 324, 211, 102, 189
476, 324, 211, 102, 189, 336
477, 211, 102, 189, 336, 356
478, 102, 189, 336, 356, 267
479, 189, 336, 356, 267, 316
480, 336, 356, 267, 316, 239
481, 356, 267, 316, 239, 408
482, 267, 316, 239, 408, 218
483, 316, 239, 408, 218, 226
484, 239, 408, 218, 226, 266
485, 408, 218, 226, 266, 63
486, 218, 226, 266, 63, 228
487, 226, 266, 63, 228, 223
488, 266, 63, 228, 223, 294
489, 63, 228, 223, 294, 219
490, 228, 223, 294, 219, 227
491, 223, 294, 219, 227, 287
492, 294, 219, 227, 287, 307
493, 219, 227, 287, 307, 274
494, 227, 287, 307, 274, 254
495, 287, 307, 274, 254, 57
496, 307, 274, 254, 57, 472
497, 274, 254, 57, 472, 318
498, 254, 57, 472, 318, 461
499, 57, 472, 318, 461, 469
500, 472, 318, 461, 469, 419
501, 318, 461, 469, 419, 686
502, 461, 469, 419, 686, 442
503, 469, 419, 686, 442, 311
504, 419, 686, 442, 311, 278
505, 686, 442, 311, 278, 389
506, 442, 311, 278, 389, 539
507, 311, 278, 389, 539, 402
508, 278, 389, 539, 402, 496
509, 389, 539, 402, 496, 419
510, 539, 402, 496, 419, 420
511, 402, 496, 419, 420, 561
512, 496, 419, 420, 561, 245
513, 419, 420, 561, 245, 353
514, 420, 561, 245, 353, 445
515, 561, 245, 353, 445, 254
516, 245, 353, 445, 254, 269
517, 353, 445, 254, 269, 186
518, 445, 254, 269, 186, 420
519, 254, 269, 186, 420, 377
520, 269, 186, 420, 377, 636
521, 186, 420, 377, 636, 455
522, 420, 377, 636, 455, 561
523, 377, 636, 455, 561, 576
524, 636, 455, 561, 576, 289
525, 455, 561, 576, 289, 450
526, 561, 576, 289, 450, 164
527, 576, 289, 450, 164, 113
528, 289, 450, 164, 113, 425
529, 450, 164, 113, 425, 130
530, 164, 113, 425, 130, 257
531, 113, 425, 130, 257, 244
532, 425, 130, 257, 244, 363
533, 130, 257, 244, 363, 241
534, 257, 244, 363, 241, 292
535, 244, 363, 241, 292, 129
536, 363, 241, 292, 129, 314
537, 241, 292, 129, 314, 157
538, 292, 129, 314, 157, 215
539, 129, 314, 157, 215, 294
540, 314, 157, 215, 294, 216
541, 157, 215, 294, 216, 192
542, 215, 294, 216, 192, 347
543, 294, 216, 192, 347, 426
544, 216, 192, 347, 426, 134
545, 192, 347, 426, 134, 296
546, 347, 426, 134, 296, 71
547, 426, 134, 296, 71, 217
548, 134, 296, 71, 217, 328
549, 296, 71, 217, 328, 273
550, 71, 217, 328, 273, 328
551, 217, 328, 273, 328, 343
552, 328, 273, 328, 343, 396
553, 273, 328, 343, 396, 209
554, 328, 343, 396, 209, 253
555, 343, 396, 209, 253, 560
556, 396, 209, 253, 560, 324
557, 209, 253, 560, 324, 300
558, 253, 560, 324, 300, 409
559, 560, 324, 300, 409, 278
560, 324, 300, 409, 278, 346
561, 300, 409, 278, 346, 290
562, 409, 278, 346, 290, 379
563, 278, 346, 290, 379, 301
564, 346, 290, 379, 301, 215
565, 290, 379, 301, 215, 343
566, 379, 301, 215, 343, 93
567, 301, 215, 343, 93, 356
568, 215, 343, 93, 356, 204
569, 343, 93, 356, 204, 243
570, 93, 356, 204, 243, 580
571, 356, 204, 243, 580, 338
572, 204, 243, 580, 338, 169
573, 243, 580, 338, 169, 262
574, 580, 338, 169, 262, 259
575, 338, 169, 262, 259, 343
576, 169, 262, 259, 343, 92
577, 262, 259, 343, 92, 267
578, 259, 343, 92, 267, 290
579, 343, 92, 267, 290, 504
580, 92, 267, 290, 504, 269
581, 267, 290, 504, 269, 227
582, 290, 504, 269, 227, 294
583, 504, 269, 227, 294, 197
584, 269, 227, 294, 197, 255
585, 227, 294, 197, 255, 368
586, 294, 197, 255, 368, 416
587, 197, 255, 368, 416, 308
588, 255, 368, 416, 308, 81
589, 368, 416, 308, 81, 154
590, 416, 308, 81, 154, 177
591, 308, 81, 154, 177, 162
592, 81, 154, 177, 162, 208
593, 154, 177, 162, 208, 326
594, 177, 162, 208, 326, 225
595, 162, 208, 326, 225, 142
596, 208, 326, 225, 142, 522
597, 326, 225, 142, 522, 300
598, 225, 142, 522, 300, 585
599, 142, 522, 300, 585, 225
600, 522, 300, 585, 225, 448
601, 300, 585, 225, 448, 358
602, 585, 225, 448, 358, 288
603, 225, 448, 358, 288, 468
604, 448, 358, 288, 468, 390
605, 358, 288, 468, 390, 371
606, 288, 468, 390, 371, 474
607, 468, 390, 371, 474, 429
608, 390, 371, 474, 429, 442
609, 371, 474, 429, 442, 470
610, 474, 429, 442, 470, 329
611, 429, 442, 470, 329, 432
612, 442, 470, 329, 432, 224
613, 470, 329, 432, 224, 535
614, 329, 432, 224, 535, 328
615, 432, 224, 535, 328, 445
616, 224, 535, 328, 445, 235
617, 535, 328, 445, 235, 524
618, 328, 445, 235, 524, 424
619, 445, 235, 524, 424, 629
620, 235, 524, 424, 629, 308
621, 524, 424, 629, 308, 522
622, 424, 629, 308, 522, 641
623, 629, 308, 522, 641, 439
624, 308, 522, 641, 439, 401
625, 522, 641, 439, 401, 312
626, 641, 439, 401, 312, 304
627, 439, 401, 312, 304, 315
628, 401, 312, 304, 315, 451
629, 312, 304, 315, 451, 280
630, 304, 315, 451, 280, 321
631, 315, 451, 280, 321, 160
632, 451, 280, 321, 160, 331
633, 280, 321, 160, 331, 220
634, 321, 160, 331, 220, 588
635, 160, 331, 220, 588, 170
636, 331, 220, 588, 170, 176
637, 220, 588, 170, 176, 368
638, 588, 170, 176, 368, 248
639, 170, 176, 368, 248, 285
640, 176, 368, 248, 285, 284
641, 368, 248, 285, 284, 110
642, 248, 285, 284, 110, 274
643, 285, 284, 110, 274, 178
644, 284, 110, 274, 178, 186
645, 110, 274, 178, 186, 109
646, 274, 178, 186, 109, 291
647, 178, 186, 109, 291, 236
648, 186, 109, 291, 236, 284
649, 109, 291, 236, 284, 182
650, 291, 236, 284, 182, 445
651, 236, 284, 182, 445, 346
652, 284, 182, 445, 346, 347
653, 182, 445, 346, 347, 331
654, 445, 346, 347, 331, 249
655, 346, 347, 331, 249, 173
656, 347, 331, 249, 173, 354
657, 331, 249, 173, 354, 335
658, 249, 173, 354, 335, 264
659, 173, 354, 335, 264, 435
660, 354, 335, 264, 435, 612
661, 335, 264, 435, 612, 340
662, 264, 435, 612, 340, 313
663, 435, 612, 340, 313, 330
664, 612, 340, 313, 330, 485
665, 340, 313, 330, 485, 508
666, 313, 330, 485, 508, 313
667, 330, 485, 508, 313, 327
668, 485, 508, 313, 327, 314
669, 508, 313, 327, 314, 419
670, 313, 327, 314, 419, 477
671, 327, 314, 419, 477, 293
672, 314, 419, 477, 293, 168
673, 419, 477, 293, 168, 374
674, 477, 293, 168, 374, 200
675, 293, 168, 374, 200, 415
676, 168, 374, 200, 415, 349
677, 374, 200, 415, 349, 162
678, 200, 415, 349, 162, 331
679, 415, 349, 162, 331, 273
680, 349, 162, 331, 273, 408
681, 162, 331, 273, 408, 377
682, 331, 273, 408, 377, 304
683, 273, 408, 377, 304, 319
684, 408, 377, 304, 319, 146
685, 377, 304, 319, 146, 324
686, 304, 319, 146, 324, 480
687, 319, 146, 324, 480, 204
688, 146, 324, 480, 204, 263
689, 324, 480, 204, 263, 357
690, 480, 204, 263, 357, 225
691, 204, 263, 357, 225, 364
692, 263, 357, 225, 364, 292
693, 357, 225, 364, 292, 285
694, 225, 364, 292, 285, 462
695, 364, 292, 285, 462, 575
696, 292, 285, 462, 575, 310
697, 285, 462, 575, 310, 631
698, 462, 575, 310, 631, 459
699, 575, 310, 631, 459, 448
700, 310, 631, 459, 448, 248
701, 631, 459, 448, 248, 483
702, 459, 448, 248, 483, 364
703, 448, 248, 483, 364, 561
704, 248, 483, 364, 561, 331
705, 483, 364, 561, 331, 298
706, 364, 561, 331, 298, 365
707, 561, 331, 298, 365, 603
708, 331, 298, 365, 603, 506
709, 298, 365, 603, 506, 603
710, 365, 603, 506, 603, 270
711, 603, 506, 603, 270, 530
712, 506, 603, 270, 530, 465
713, 603, 270, 530, 465, 612
714, 270, 530, 465, 612, 255
715, 530, 465, 612, 255, 441
716, 465, 612, 255, 441, 504
717, 612, 255, 441, 504, 585
718, 255, 441, 504, 585, 464
719, 441, 504, 585, 464, 382
720, 504, 585, 464, 382, 370
721, 585, 464, 382, 370, 397
722, 464, 382, 370, 397, 295
723, 382, 370, 397, 295, 567
724, 370, 397, 295, 567, 268
725, 397, 295, 567, 268, 321
726, 295, 567, 268, 321, 544
727, 567, 268, 321, 544, 631
728, 268, 321, 544, 631, 385
729, 321, 544, 631, 385, 259
730, 544, 631, 385, 259, 582
731, 631, 385, 259, 582, 685
732, 385, 259, 582, 685, 526
733, 259, 582, 685, 526, 382
734, 582, 685, 526, 382, 390
735, 685, 526, 382, 390, 490
736, 526, 382, 390, 490, 632
737, 382, 390, 490, 632, 278
738, 390, 490, 632, 278, 481
739, 490, 632, 278, 481, 270
740, 632, 278, 481, 270, 309
741, 278, 481, 270, 309, 466
742, 481, 270, 309, 466, 434
743, 270, 309, 466, 434, 353
744, 309, 466, 434, 353, 367
745, 466, 434, 353, 367, 588
746, 434, 353, 367, 588, 401
747, 353, 367, 588, 401, 438
748, 367, 588, 401, 438, 468
749, 588, 401, 438, 468, 376
750, 401, 438, 468, 376, 545
751, 438, 468, 376, 545, 455
752, 468, 376, 545, 455, 418
753, 376, 545, 455, 418, 634
754, 545, 455, 418, 634, 693
755, 455, 418, 634, 693, 736
756, 418, 634, 693, 736, 668
757, 634, 693, 736, 668, 430
758, 693, 736, 668, 430, 884
759, 736, 668, 430, 884, 468
760, 668, 430, 884, 468, 480
761, 430, 884, 468, 480, 521
762, 884, 468, 480, 521, 705
763, 468, 480, 521, 705, 657
764, 480, 521, 705, 657, 705
765, 521, 705, 657, 705, 705
766, 705, 657, 705, 705, 564
767, 657, 705, 705, 564, 482
768, 705, 705, 564, 482, 761
769, 705, 564, 482, 761, 708
770, 564, 482, 761, 708, 356
771, 482, 761, 708, 356, 657
772, 761, 708, 356, 657, 346
773, 708, 356, 657, 346, 492
774, 356, 657, 346, 492, 465
775, 657, 346, 492, 465, 555
776, 346, 492, 465, 555, 368
777, 492, 465, 555, 368, 633
778, 465, 555, 368, 633, 333
779, 555, 368, 633, 333, 535
780, 368, 633, 333, 535, 375
781, 633, 333, 535, 375, 552
782, 333, 535, 375, 552, 479
783, 535, 375, 552, 479, 420
784, 375, 552, 479, 420, 604
785, 552, 479, 420, 604, 230
786, 479, 420, 604, 230, 458
787, 420, 604, 230, 458, 443
788, 604, 230, 458, 443, 569
789, 230, 458, 443, 569, 354
790, 458, 443, 569, 354, 206
791, 443, 569, 354, 206, 355
792, 569, 354, 206, 355, 502
793, 354, 206, 355, 502, 290
794, 206, 355, 502, 290, 380
795, 355, 502, 290, 380, 383
796, 502, 290, 380, 383, 418
797, 290, 380, 383, 418, 333
798, 380, 383, 418, 333, 449
799, 383, 418, 333, 449, 350
800, 418, 333, 449, 350, 458
801, 333, 449, 350, 458, 411
802, 449, 350, 458, 411, 373
803, 350, 458, 411, 373, 303
804, 458, 411, 373, 303, 523
805, 411, 373, 303, 523, 430
806, 373, 303, 523, 430, 366
807, 303, 523, 430, 366, 490
808, 523, 430, 366, 490, 416
