@relation GasFurnaceOld
@attribute TimeStamp integer[0,289]
@attribute Ytm1 real[45.6,60.5]
@attribute Ytm2 real[45.6,60.5]
@attribute Ytm3 real[45.6,60.5]
@attribute Ytm4 real[45.6,60.5]
@attribute Utm1 real[45.6,60.5]
@attribute Utm2 real[-2.72,2.83]
@attribute Utm3 real[-2.72,2.83]
@attribute Utm4 real[-2.72,2.83]
@attribute Utm5 real[-2.72,2.83]
@attribute Utm6 real[-2.72,2.83]
@attribute Yt real[-2.72,2.83]
@inputs Ytm1, Ytm2, Ytm3, Ytm4, Utm1, Utm2, Utm3, Utm4, Utm5, Utm6
@outputs Yt
@data
27,47.5,47.6,47.9,48.4,49.2,1.61,1.77,1.83,1.87,1.93,1.98
28,47.5,47.5,47.6,47.9,48.4,1.27,1.61,1.77,1.83,1.87,1.93
29,47.6,47.5,47.5,47.6,47.9,0.79,1.27,1.61,1.77,1.83,1.87
30,48.1,47.6,47.5,47.5,47.6,0.36,0.79,1.27,1.61,1.77,1.83
31,49.0,48.1,47.6,47.5,47.5,0.115,0.36,0.79,1.27,1.61,1.77
32,50.0,49.0,48.1,47.6,47.5,0.088,0.115,0.36,0.79,1.27,1.61
33,51.1,50.0,49.0,48.1,47.6,0.331,0.088,0.115,0.36,0.79,1.27
34,51.8,51.1,50.0,49.0,48.1,0.645,0.331,0.088,0.115,0.36,0.79
35,51.9,51.8,51.1,50.0,49.0,0.96,0.645,0.331,0.088,0.115,0.36
36,51.7,51.9,51.8,51.1,50.0,1.41,0.96,0.645,0.331,0.088,0.115
37,51.2,51.7,51.9,51.8,51.1,2.67,1.41,0.96,0.645,0.331,0.088
38,50.0,51.2,51.7,51.9,51.8,2.83,2.67,1.41,0.96,0.645,0.331
39,48.3,50.0,51.2,51.7,51.9,2.81,2.83,2.67,1.41,0.96,0.645
40,47.0,48.3,50.0,51.2,51.7,2.48,2.81,2.83,2.67,1.41,0.96
41,45.8,47.0,48.3,50.0,51.2,1.93,2.48,2.81,2.83,2.67,1.41
42,45.6,45.8,47.0,48.3,50.0,1.49,1.93,2.48,2.81,2.83,2.67
43,46.0,45.6,45.8,47.0,48.3,1.21,1.49,1.93,2.48,2.81,2.83
44,46.9,46.0,45.6,45.8,47.0,1.24,1.21,1.49,1.93,2.48,2.81
45,47.8,46.9,46.0,45.6,45.8,1.61,1.24,1.21,1.49,1.93,2.48
46,48.2,47.8,46.9,46.0,45.6,1.91,1.61,1.24,1.21,1.49,1.93
47,48.3,48.2,47.8,46.9,46.0,2.02,1.91,1.61,1.24,1.21,1.49
48,47.9,48.3,48.2,47.8,46.9,1.82,2.02,1.91,1.61,1.24,1.21
49,47.2,47.9,48.3,48.2,47.8,0.535,1.82,2.02,1.91,1.61,1.24
50,47.2,47.2,47.9,48.3,48.2,0.122,0.535,1.82,2.02,1.91,1.61
51,48.1,47.2,47.2,47.9,48.3,0.009,0.122,0.535,1.82,2.02,1.91
52,49.4,48.1,47.2,47.2,47.9,0.164,0.009,0.122,0.535,1.82,2.02
53,50.6,49.4,48.1,47.2,47.2,0.671,0.164,0.009,0.122,0.535,1.82
54,51.5,50.6,49.4,48.1,47.2,1.02,0.671,0.164,0.009,0.122,0.535
55,51.6,51.5,50.6,49.4,48.1,1.15,1.02,0.671,0.164,0.009,0.122
56,51.2,51.6,51.5,50.6,49.4,1.16,1.15,1.02,0.671,0.164,0.009
57,50.5,51.2,51.6,51.5,50.6,1.11,1.16,1.15,1.02,0.671,0.164
58,50.1,50.5,51.2,51.6,51.5,1.12,1.11,1.16,1.15,1.02,0.671
59,49.8,50.1,50.5,51.2,51.6,1.22,1.12,1.11,1.16,1.15,1.02
60,49.6,49.8,50.1,50.5,51.2,1.26,1.22,1.12,1.11,1.16,1.15
61,49.4,49.6,49.8,50.1,50.5,1.16,1.26,1.22,1.12,1.11,1.16
62,49.3,49.4,49.6,49.8,50.1,0.913,1.16,1.26,1.22,1.12,1.11
63,49.2,49.3,49.4,49.6,49.8,0.62,0.913,1.16,1.26,1.22,1.12
64,49.3,49.2,49.3,49.4,49.6,0.255,0.62,0.913,1.16,1.26,1.22
65,49.7,49.3,49.2,49.3,49.4,-0.28,0.255,0.62,0.913,1.16,1.26
66,50.3,49.7,49.3,49.2,49.3,-1.08,-0.28,0.255,0.62,0.913,1.16
67,51.3,50.3,49.7,49.3,49.2,-1.55,-1.08,-0.28,0.255,0.62,0.913
68,52.8,51.3,50.3,49.7,49.3,-1.8,-1.55,-1.08,-0.28,0.255,0.62
69,54.4,52.8,51.3,50.3,49.7,-1.83,-1.8,-1.55,-1.08,-0.28,0.255
70,56.0,54.4,52.8,51.3,50.3,-1.46,-1.83,-1.8,-1.55,-1.08,-0.28
71,56.9,56.0,54.4,52.8,51.3,-0.944,-1.46,-1.83,-1.8,-1.55,-1.08
72,57.5,56.9,56.0,54.4,52.8,-0.57,-0.944,-1.46,-1.83,-1.8,-1.55
73,57.3,57.5,56.9,56.0,54.4,-0.431,-0.57,-0.944,-1.46,-1.83,-1.8
74,56.6,57.3,57.5,56.9,56.0,-0.577,-0.431,-0.57,-0.944,-1.46,-1.83
75,56.0,56.6,57.3,57.5,56.9,-0.96,-0.577,-0.431,-0.57,-0.944,-1.46
76,55.4,56.0,56.6,57.3,57.5,-1.62,-0.96,-0.577,-0.431,-0.57,-0.944
77,55.4,55.4,56.0,56.6,57.3,-1.88,-1.62,-0.96,-0.577,-0.431,-0.57
78,56.4,55.4,55.4,56.0,56.6,-1.89,-1.88,-1.62,-0.96,-0.577,-0.431
79,57.2,56.4,55.4,55.4,56.0,-1.75,-1.89,-1.88,-1.62,-0.96,-0.577
80,58.0,57.2,56.4,55.4,55.4,-1.47,-1.75,-1.89,-1.88,-1.62,-0.96
81,58.4,58.0,57.2,56.4,55.4,-1.2,-1.47,-1.75,-1.89,-1.88,-1.62
82,58.4,58.4,58.0,57.2,56.4,-0.927,-1.2,-1.47,-1.75,-1.89,-1.88
83,58.1,58.4,58.4,58.0,57.2,-0.524,-0.927,-1.2,-1.47,-1.75,-1.89
84,57.7,58.1,58.4,58.4,58.0,0.04,-0.524,-0.927,-1.2,-1.47,-1.75
85,57.0,57.7,58.1,58.4,58.4,0.788,0.04,-0.524,-0.927,-1.2,-1.47
86,56.0,57.0,57.7,58.1,58.4,0.943,0.788,0.04,-0.524,-0.927,-1.2
87,54.7,56.0,57.0,57.7,58.1,0.93,0.943,0.788,0.04,-0.524,-0.927
88,53.2,54.7,56.0,57.0,57.7,1.01,0.93,0.943,0.788,0.04,-0.524
89,52.1,53.2,54.7,56.0,57.0,1.14,1.01,0.93,0.943,0.788,0.04
90,51.6,52.1,53.2,54.7,56.0,1.2,1.14,1.01,0.93,0.943,0.788
91,51.0,51.6,52.1,53.2,54.7,1.05,1.2,1.14,1.01,0.93,0.943
92,50.5,51.0,51.6,52.1,53.2,0.595,1.05,1.2,1.14,1.01,0.93
93,50.4,50.5,51.0,51.6,52.1,-0.08,0.595,1.05,1.2,1.14,1.01
94,51.0,50.4,50.5,51.0,51.6,-0.314,-0.08,0.595,1.05,1.2,1.14
95,51.8,51.0,50.4,50.5,51.0,-0.288,-0.314,-0.08,0.595,1.05,1.2
96,52.4,51.8,51.0,50.4,50.5,-0.153,-0.288,-0.314,-0.08,0.595,1.05
97,53.0,52.4,51.8,51.0,50.4,-0.109,-0.153,-0.288,-0.314,-0.08,0.595
98,53.4,53.0,52.4,51.8,51.0,-0.187,-0.109,-0.153,-0.288,-0.314,-0.08
99,53.6,53.4,53.0,52.4,51.8,-0.255,-0.187,-0.109,-0.153,-0.288,-0.314
100,53.7,53.6,53.4,53.0,52.4,-0.229,-0.255,-0.187,-0.109,-0.153,-0.288
101,53.8,53.7,53.6,53.4,53.0,-0.007,-0.229,-0.255,-0.187,-0.109,-0.153
102,53.8,53.8,53.7,53.6,53.4,0.254,-0.007,-0.229,-0.255,-0.187,-0.109
103,53.8,53.8,53.8,53.7,53.6,0.33,0.254,-0.007,-0.229,-0.255,-0.187
104,53.3,53.8,53.8,53.8,53.7,0.102,0.33,0.254,-0.007,-0.229,-0.255
105,53.0,53.3,53.8,53.8,53.8,-0.423,0.102,0.33,0.254,-0.007,-0.229
106,52.9,53.0,53.3,53.8,53.8,-1.14,-0.423,0.102,0.33,0.254,-0.007
107,53.4,52.9,53.0,53.3,53.8,-2.28,-1.14,-0.423,0.102,0.33,0.254
108,54.6,53.4,52.9,53.0,53.3,-2.59,-2.28,-1.14,-0.423,0.102,0.33
109,56.4,54.6,53.4,52.9,53.0,-2.72,-2.59,-2.28,-1.14,-0.423,0.102
110,58.0,56.4,54.6,53.4,52.9,-2.51,-2.72,-2.59,-2.28,-1.14,-0.423
111,59.4,58.0,56.4,54.6,53.4,-1.79,-2.51,-2.72,-2.59,-2.28,-1.14
112,60.2,59.4,58.0,56.4,54.6,-1.35,-1.79,-2.51,-2.72,-2.59,-2.28
113,60.0,60.2,59.4,58.0,56.4,-1.08,-1.35,-1.79,-2.51,-2.72,-2.59
114,59.4,60.0,60.2,59.4,58.0,-0.91,-1.08,-1.35,-1.79,-2.51,-2.72
115,58.4,59.4,60.0,60.2,59.4,-0.876,-0.91,-1.08,-1.35,-1.79,-2.51
116,57.6,58.4,59.4,60.0,60.2,-0.885,-0.876,-0.91,-1.08,-1.35,-1.79
117,56.9,57.6,58.4,59.4,60.0,-0.8,-0.885,-0.876,-0.91,-1.08,-1.35
118,56.4,56.9,57.6,58.4,59.4,-0.544,-0.8,-0.885,-0.876,-0.91,-1.08
119,56.0,56.4,56.9,57.6,58.4,-0.416,-0.544,-0.8,-0.885,-0.876,-0.91
120,55.7,56.0,56.4,56.9,57.6,-0.271,-0.416,-0.544,-0.8,-0.885,-0.876
121,55.3,55.7,56.0,56.4,56.9,0.0,-0.271,-0.416,-0.544,-0.8,-0.885
122,55.0,55.3,55.7,56.0,56.4,0.403,0.0,-0.271,-0.416,-0.544,-0.8
123,54.4,55.0,55.3,55.7,56.0,0.841,0.403,0.0,-0.271,-0.416,-0.544
124,53.7,54.4,55.0,55.3,55.7,1.29,0.841,0.403,0.0,-0.271,-0.416
125,52.8,53.7,54.4,55.0,55.3,1.61,1.29,0.841,0.403,0.0,-0.271
126,51.6,52.8,53.7,54.4,55.0,1.75,1.61,1.29,0.841,0.403,0.0
127,50.6,51.6,52.8,53.7,54.4,1.68,1.75,1.61,1.29,0.841,0.403
128,49.4,50.6,51.6,52.8,53.7,1.49,1.68,1.75,1.61,1.29,0.841
129,48.8,49.4,50.6,51.6,52.8,0.993,1.49,1.68,1.75,1.61,1.29
130,48.5,48.8,49.4,50.6,51.6,0.648,0.993,1.49,1.68,1.75,1.61
131,48.7,48.5,48.8,49.4,50.6,0.577,0.648,0.993,1.49,1.68,1.75
132,49.2,48.7,48.5,48.8,49.4,0.577,0.577,0.648,0.993,1.49,1.68
133,49.8,49.2,48.7,48.5,48.8,0.632,0.577,0.577,0.648,0.993,1.49
134,50.4,49.8,49.2,48.7,48.5,0.747,0.632,0.577,0.577,0.648,0.993
135,50.7,50.4,49.8,49.2,48.7,0.9,0.747,0.632,0.577,0.577,0.648
136,50.9,50.7,50.4,49.8,49.2,0.993,0.9,0.747,0.632,0.577,0.577
137,50.7,50.9,50.7,50.4,49.8,0.968,0.993,0.9,0.747,0.632,0.577
138,50.5,50.7,50.9,50.7,50.4,0.79,0.968,0.993,0.9,0.747,0.632
139,50.4,50.5,50.7,50.9,50.7,0.399,0.79,0.968,0.993,0.9,0.747
140,50.2,50.4,50.5,50.7,50.9,-0.161,0.399,0.79,0.968,0.993,0.9
141,50.4,50.2,50.4,50.5,50.7,-0.553,-0.161,0.399,0.79,0.968,0.993
142,51.2,50.4,50.2,50.4,50.5,-0.603,-0.553,-0.161,0.399,0.79,0.968
143,52.3,51.2,50.4,50.2,50.4,-0.424,-0.603,-0.553,-0.161,0.399,0.79
144,53.2,52.3,51.2,50.4,50.2,-0.194,-0.424,-0.603,-0.553,-0.161,0.399
145,53.9,53.2,52.3,51.2,50.4,-0.049,-0.194,-0.424,-0.603,-0.553,-0.161
146,54.1,53.9,53.2,52.3,51.2,0.06,-0.049,-0.194,-0.424,-0.603,-0.553
147,54.0,54.1,53.9,53.2,52.3,0.161,0.06,-0.049,-0.194,-0.424,-0.603
148,53.6,54.0,54.1,53.9,53.2,0.301,0.161,0.06,-0.049,-0.194,-0.424
149,53.2,53.6,54.0,54.1,53.9,0.517,0.301,0.161,0.06,-0.049,-0.194
150,53.0,53.2,53.6,54.0,54.1,0.566,0.517,0.301,0.161,0.06,-0.049
151,52.8,53.0,53.2,53.6,54.0,0.56,0.566,0.517,0.301,0.161,0.06
152,52.3,52.8,53.0,53.2,53.6,0.573,0.56,0.566,0.517,0.301,0.161
153,51.9,52.3,52.8,53.0,53.2,0.592,0.573,0.56,0.566,0.517,0.301
154,51.6,51.9,52.3,52.8,53.0,0.671,0.592,0.573,0.56,0.566,0.517
155,51.6,51.6,51.9,52.3,52.8,0.933,0.671,0.592,0.573,0.56,0.566
156,51.4,51.6,51.6,51.9,52.3,1.34,0.933,0.671,0.592,0.573,0.56
157,51.2,51.4,51.6,51.6,51.9,1.46,1.34,0.933,0.671,0.592,0.573
158,50.7,51.2,51.4,51.6,51.6,1.35,1.46,1.34,0.933,0.671,0.592
159,50.0,50.7,51.2,51.4,51.6,0.772,1.35,1.46,1.34,0.933,0.671
160,49.4,50.0,50.7,51.2,51.4,0.218,0.772,1.35,1.46,1.34,0.933
161,49.3,49.4,50.0,50.7,51.2,-0.237,0.218,0.772,1.35,1.46,1.34
162,49.7,49.3,49.4,50.0,50.7,-0.714,-0.237,0.218,0.772,1.35,1.46
163,50.6,49.7,49.3,49.4,50.0,-1.1,-0.714,-0.237,0.218,0.772,1.35
164,51.8,50.6,49.7,49.3,49.4,-1.27,-1.1,-0.714,-0.237,0.218,0.772
165,53.0,51.8,50.6,49.7,49.3,-1.18,-1.27,-1.1,-0.714,-0.237,0.218
166,54.0,53.0,51.8,50.6,49.7,-0.676,-1.18,-1.27,-1.1,-0.714,-0.237
167,55.3,54.0,53.0,51.8,50.6,0.033,-0.676,-1.18,-1.27,-1.1,-0.714
168,55.9,55.3,54.0,53.0,51.8,0.556,0.033,-0.676,-1.18,-1.27,-1.1
169,55.9,55.9,55.3,54.0,53.0,0.643,0.556,0.033,-0.676,-1.18,-1.27
170,54.6,55.9,55.9,55.3,54.0,0.484,0.643,0.556,0.033,-0.676,-1.18
171,53.5,54.6,55.9,55.9,55.3,0.109,0.484,0.643,0.556,0.033,-0.676
172,52.4,53.5,54.6,55.9,55.9,-0.31,0.109,0.484,0.643,0.556,0.033
173,52.1,52.4,53.5,54.6,55.9,-0.697,-0.31,0.109,0.484,0.643,0.556
174,52.3,52.1,52.4,53.5,54.6,-1.05,-0.697,-0.31,0.109,0.484,0.643
175,53.0,52.3,52.1,52.4,53.5,-1.22,-1.05,-0.697,-0.31,0.109,0.484
176,53.8,53.0,52.3,52.1,52.4,-1.18,-1.22,-1.05,-0.697,-0.31,0.109
177,54.6,53.8,53.0,52.3,52.1,-0.873,-1.18,-1.22,-1.05,-0.697,-0.31
178,55.4,54.6,53.8,53.0,52.3,-0.336,-0.873,-1.18,-1.22,-1.05,-0.697
179,55.9,55.4,54.6,53.8,53.0,0.063,-0.336,-0.873,-1.18,-1.22,-1.05
180,55.9,55.9,55.4,54.6,53.8,0.084,0.063,-0.336,-0.873,-1.18,-1.22
181,55.2,55.9,55.9,55.4,54.6,0.0,0.084,0.063,-0.336,-0.873,-1.18
182,54.4,55.2,55.9,55.9,55.4,0.001,0.0,0.084,0.063,-0.336,-0.873
183,53.7,54.4,55.2,55.9,55.9,0.209,0.001,0.0,0.084,0.063,-0.336
184,53.6,53.7,54.4,55.2,55.9,0.556,0.209,0.001,0.0,0.084,0.063
185,53.6,53.6,53.7,54.4,55.2,0.782,0.556,0.209,0.001,0.0,0.084
186,53.2,53.6,53.6,53.7,54.4,0.858,0.782,0.556,0.209,0.001,0.0
187,52.5,53.2,53.6,53.6,53.7,0.918,0.858,0.782,0.556,0.209,0.001
188,52.0,52.5,53.2,53.6,53.6,0.862,0.918,0.858,0.782,0.556,0.209
189,51.4,52.0,52.5,53.2,53.6,0.416,0.862,0.918,0.858,0.782,0.556
190,51.0,51.4,52.0,52.5,53.2,-0.336,0.416,0.862,0.918,0.858,0.782
191,50.9,51.0,51.4,52.0,52.5,-0.959,-0.336,0.416,0.862,0.918,0.858
192,52.4,50.9,51.0,51.4,52.0,-1.81,-0.959,-0.336,0.416,0.862,0.918
193,53.5,52.4,50.9,51.0,51.4,-2.38,-1.81,-0.959,-0.336,0.416,0.862
194,55.6,53.5,52.4,50.9,51.0,-2.5,-2.38,-1.81,-0.959,-0.336,0.416
195,58.0,55.6,53.5,52.4,50.9,-2.47,-2.5,-2.38,-1.81,-0.959,-0.336
196,59.5,58.0,55.6,53.5,52.4,-2.33,-2.47,-2.5,-2.38,-1.81,-0.959
197,60.0,59.5,58.0,55.6,53.5,-2.05,-2.33,-2.47,-2.5,-2.38,-1.81
198,60.4,60.0,59.5,58.0,55.6,-1.74,-2.05,-2.33,-2.47,-2.5,-2.38
199,60.5,60.4,60.0,59.5,58.0,-1.26,-1.74,-2.05,-2.33,-2.47,-2.5
200,60.2,60.5,60.4,60.0,59.5,-0.569,-1.26,-1.74,-2.05,-2.33,-2.47
201,59.7,60.2,60.5,60.4,60.0,-0.137,-0.569,-1.26,-1.74,-2.05,-2.33
202,59.0,59.7,60.2,60.5,60.4,-0.024,-0.137,-0.569,-1.26,-1.74,-2.05
203,57.6,59.0,59.7,60.2,60.5,-0.05,-0.024,-0.137,-0.569,-1.26,-1.74
204,56.4,57.6,59.0,59.7,60.2,-0.135,-0.05,-0.024,-0.137,-0.569,-1.26
205,55.2,56.4,57.6,59.0,59.7,-0.276,-0.135,-0.05,-0.024,-0.137,-0.569
206,54.5,55.2,56.4,57.6,59.0,-0.534,-0.276,-0.135,-0.05,-0.024,-0.137
207,54.1,54.5,55.2,56.4,57.6,-0.871,-0.534,-0.276,-0.135,-0.05,-0.024
208,54.1,54.1,54.5,55.2,56.4,-1.24,-0.871,-0.534,-0.276,-0.135,-0.05
209,54.4,54.1,54.1,54.5,55.2,-1.44,-1.24,-0.871,-0.534,-0.276,-0.135
210,55.5,54.4,54.1,54.1,54.5,-1.42,-1.44,-1.24,-0.871,-0.534,-0.276
211,56.2,55.5,54.4,54.1,54.1,-1.18,-1.42,-1.44,-1.24,-0.871,-0.534
212,57.0,56.2,55.5,54.4,54.1,-0.813,-1.18,-1.42,-1.44,-1.24,-0.871
213,57.3,57.0,56.2,55.5,54.4,-0.634,-0.813,-1.18,-1.42,-1.44,-1.24
214,57.4,57.3,57.0,56.2,55.5,-0.582,-0.634,-0.813,-1.18,-1.42,-1.44
215,57.0,57.4,57.3,57.0,56.2,-0.625,-0.582,-0.634,-0.813,-1.18,-1.42
216,56.4,57.0,57.4,57.3,57.0,-0.713,-0.625,-0.582,-0.634,-0.813,-1.18
217,55.9,56.4,57.0,57.4,57.3,-0.848,-0.713,-0.625,-0.582,-0.634,-0.813
218,55.5,55.9,56.4,57.0,57.4,-1.04,-0.848,-0.713,-0.625,-0.582,-0.634
219,55.3,55.5,55.9,56.4,57.0,-1.35,-1.04,-0.848,-0.713,-0.625,-0.582
220,55.2,55.3,55.5,55.9,56.4,-1.63,-1.35,-1.04,-0.848,-0.713,-0.625
221,55.4,55.2,55.3,55.5,55.9,-1.62,-1.63,-1.35,-1.04,-0.848,-0.713
222,56.0,55.4,55.2,55.3,55.5,-1.15,-1.62,-1.63,-1.35,-1.04,-0.848
223,56.5,56.0,55.4,55.2,55.3,-0.488,-1.15,-1.62,-1.63,-1.35,-1.04
224,57.1,56.5,56.0,55.4,55.2,-0.16,-0.488,-1.15,-1.62,-1.63,-1.35
225,57.3,57.1,56.5,56.0,55.4,-0.007,-0.16,-0.488,-1.15,-1.62,-1.63
226,56.8,57.3,57.1,56.5,56.0,-0.092,-0.007,-0.16,-0.488,-1.15,-1.62
227,55.6,56.8,57.3,57.1,56.5,-0.62,-0.092,-0.007,-0.16,-0.488,-1.15
228,55.0,55.6,56.8,57.3,57.1,-1.09,-0.62,-0.092,-0.007,-0.16,-0.488
229,54.1,55.0,55.6,56.8,57.3,-1.53,-1.09,-0.62,-0.092,-0.007,-0.16
230,54.3,54.1,55.0,55.6,56.8,-1.86,-1.53,-1.09,-0.62,-0.092,-0.007
231,55.3,54.3,54.1,55.0,55.6,-2.03,-1.86,-1.53,-1.09,-0.62,-0.092
232,56.4,55.3,54.3,54.1,55.0,-2.02,-2.03,-1.86,-1.53,-1.09,-0.62
233,57.2,56.4,55.3,54.3,54.1,-1.96,-2.02,-2.03,-1.86,-1.53,-1.09
234,57.8,57.2,56.4,55.3,54.3,-1.95,-1.96,-2.02,-2.03,-1.86,-1.53
235,58.3,57.8,57.2,56.4,55.3,-1.79,-1.95,-1.96,-2.02,-2.03,-1.86
236,58.6,58.3,57.8,57.2,56.4,-1.3,-1.79,-1.95,-1.96,-2.02,-2.03
237,58.8,58.6,58.3,57.8,57.2,-1.03,-1.3,-1.79,-1.95,-1.96,-2.02
238,58.8,58.8,58.6,58.3,57.8,-0.918,-1.03,-1.3,-1.79,-1.95,-1.96
239,58.6,58.8,58.8,58.6,58.3,-0.798,-0.918,-1.03,-1.3,-1.79,-1.95
240,58.0,58.6,58.8,58.8,58.6,-0.867,-0.798,-0.918,-1.03,-1.3,-1.79
241,57.4,58.0,58.6,58.8,58.8,-1.05,-0.867,-0.798,-0.918,-1.03,-1.3
242,57.0,57.4,58.0,58.6,58.8,-1.12,-1.05,-0.867,-0.798,-0.918,-1.03
243,56.4,57.0,57.4,58.0,58.6,-0.876,-1.12,-1.05,-0.867,-0.798,-0.918
244,56.3,56.4,57.0,57.4,58.0,-0.395,-0.876,-1.12,-1.05,-0.867,-0.798
245,56.4,56.3,56.4,57.0,57.4,0.185,-0.395,-0.876,-1.12,-1.05,-0.867
246,56.4,56.4,56.3,56.4,57.0,0.662,0.185,-0.395,-0.876,-1.12,-1.05
247,56.0,56.4,56.4,56.3,56.4,0.709,0.662,0.185,-0.395,-0.876,-1.12
248,55.2,56.0,56.4,56.4,56.3,0.605,0.709,0.662,0.185,-0.395,-0.876
249,54.0,55.2,56.0,56.4,56.4,0.501,0.605,0.709,0.662,0.185,-0.395
250,53.0,54.0,55.2,56.0,56.4,0.603,0.501,0.605,0.709,0.662,0.185
251,52.0,53.0,54.0,55.2,56.0,0.943,0.603,0.501,0.605,0.709,0.662
252,51.6,52.0,53.0,54.0,55.2,1.22,0.943,0.603,0.501,0.605,0.709
253,51.6,51.6,52.0,53.0,54.0,1.25,1.22,0.943,0.603,0.501,0.605
254,51.1,51.6,51.6,52.0,53.0,0.824,1.25,1.22,0.943,0.603,0.501
255,50.4,51.1,51.6,51.6,52.0,0.102,0.824,1.25,1.22,0.943,0.603
256,50.0,50.4,51.1,51.6,51.6,0.025,0.102,0.824,1.25,1.22,0.943
257,50.0,50.0,50.4,51.1,51.6,0.382,0.025,0.102,0.824,1.25,1.22
258,52.0,50.0,50.0,50.4,51.1,0.922,0.382,0.025,0.102,0.824,1.25
259,54.0,52.0,50.0,50.0,50.4,1.03,0.922,0.382,0.025,0.102,0.824
260,55.1,54.0,52.0,50.0,50.0,0.866,1.03,0.922,0.382,0.025,0.102
261,54.5,55.1,54.0,52.0,50.0,0.527,0.866,1.03,0.922,0.382,0.025
262,52.8,54.5,55.1,54.0,52.0,0.093,0.527,0.866,1.03,0.922,0.382
263,51.4,52.8,54.5,55.1,54.0,-0.458,0.093,0.527,0.866,1.03,0.922
264,50.8,51.4,52.8,54.5,55.1,-0.748,-0.458,0.093,0.527,0.866,1.03
265,51.2,50.8,51.4,52.8,54.5,-0.947,-0.748,-0.458,0.093,0.527,0.866
266,52.0,51.2,50.8,51.4,52.8,-1.03,-0.947,-0.748,-0.458,0.093,0.527
267,52.8,52.0,51.2,50.8,51.4,-0.928,-1.03,-0.947,-0.748,-0.458,0.093
268,53.8,52.8,52.0,51.2,50.8,-0.645,-0.928,-1.03,-0.947,-0.748,-0.458
269,54.5,53.8,52.8,52.0,51.2,-0.424,-0.645,-0.928,-1.03,-0.947,-0.748
270,54.9,54.5,53.8,52.8,52.0,-0.276,-0.424,-0.645,-0.928,-1.03,-0.947
271,54.9,54.9,54.5,53.8,52.8,-0.158,-0.276,-0.424,-0.645,-0.928,-1.03
